sid,Maximum Correlation
16994,0.9962361931559385
16999,0.6514147880119361
24476,0.8888952958779575
24511,0.8947791109792504
24520,0.9968970898337965
24523,0.9942406606468938
24525,0.9962317959108459
24535,1.0
