record_time,app_id,sid,total_req_count,error_count,resp_time_sum
1700006400000,753,1010,5,0,0.018000000000000002
1700092800000,753,1010,18,0,0.069
1700179200000,753,1010,10,0,0.036
1700352000000,753,1010,18,0,0.10999999999999999
1700438400000,753,1010,7,0,0.027
1700524800000,753,1010,4,0,0.024
1700611200000,753,1010,12,0,0.059
1700697600000,753,1010,48,0,0.239
1700784000000,753,1010,9,0,0.046
1700870400000,753,1010,1,0,0.003
1700956800000,753,1010,2,0,0.011
1701129600000,753,1010,16,0,0.08000000000000002
1701216000000,753,1010,10,0,0.045
1701302400000,753,1010,39,0,0.21000000000000008
1701388800000,753,1010,24,1,0.2770000000000001
1701475200000,753,1010,22,0,0.13200000000000003
