record_time,app_id,sid,total_req_count,error_count,resp_time_sum,is_eb_breached,is_response_breached
1.70173E+12,753,1008,28525,422,434.948,0,0
1.70173E+12,753,1009,360,0,2.357,0,0
1.70173E+12,753,1011,5858,0,6.972,0,0
1.70173E+12,753,1012,5857,0,106.46,0,0
1.70173E+12,753,1014,3093,0,99.245,0,0
1.70173E+12,753,1015,278,0,1.034,0,0
1.70173E+12,753,1021,968,7,72.951,0,0
1.70173E+12,753,1022,5845,0,92.696,0,0
1.70173E+12,753,1026,40,0,2.139,0,0
1.70173E+12,753,1027,67,0,2.715,0,0
1.70173E+12,753,1028,6046,0,7.176,0,0
1.70173E+12,753,1029,65,0,0.064,0,0
1.70173E+12,753,1032,65,0,1.064,0,0
1.70173E+12,753,1033,21208,0,71.649,0,0
1.70173E+12,753,1034,278,147,35.76,1,0
1.70173E+12,753,1036,6023,2932,1989.857,1,0
1.70173E+12,753,1037,4352,0,431.36,0,0
1.70173E+12,753,1041,62,0,2.099,0,0
1.70173E+12,753,1042,2,2,0.122,1,0
1.70173E+12,753,1043,74,0,1.869,0,0
1.70173E+12,753,1046,1009,7,38.404,0,0
1.70173E+12,753,1047,7202,0,90.25,0,0
1.70173E+12,753,1048,21330,422,696.836,0,0
1.70173E+12,753,1049,360,0,0.489,0,0
1.70173E+12,753,1050,74,0,2.277,0,0
1.70173E+12,753,1051,6025,2932,2410.814,1,0
1.70173E+12,753,1053,217,0,2.064,0,0
1.70173E+12,753,1054,74,0,3.672,0,0
1.70173E+12,753,1055,14273,0,538.151,0,0
1.70173E+12,753,1059,23197,42,1405.024,0,0
1.70173E+12,753,1060,29224,0,59.62,0,0
1.70173E+12,753,1063,6027,0,12.179,0,0
1.70173E+12,753,1068,4020,0,2.944,0,0
1.70173E+12,753,1069,765,0,5.622,0,0
1.70173E+12,753,1076,74,0,0.437,0,0
1.70173E+12,753,1080,217,0,5.021,0,0
1.70173E+12,753,1082,13508,0,106.645,0,0
1.70173E+12,753,1086,65,0,0.067,0,0
1.70173E+12,753,1088,5857,0,410.534,0,0
1.70173E+12,753,1091,6306,38,25.484,0,0
1.70173E+12,753,1092,5857,0,99.69,0,0
1.70173E+12,753,1094,1,0,0.01,0,0
1.70173E+12,753,1095,7202,0,15.429,0,0
1.70173E+12,753,1097,8,0,0.006,0,0
1.70173E+12,753,1100,23199,44,1906.402,0,0
1.70173E+12,753,1103,240,109,23.491,1,0
1.70173E+12,753,1008,29518,326,432.639,0,0
1.70173E+12,753,1009,360,0,1.833,0,0
1.70173E+12,753,1011,5780,0,6.966,0,0
1.70173E+12,753,1012,5781,0,106.251,0,0
1.70173E+12,753,1013,1,0,0.076,0,0
1.70173E+12,753,1014,3160,0,101.494,0,0
1.70173E+12,753,1015,229,0,0.843,0,0
1.70173E+12,753,1020,2,0,0.063,0,0
1.70173E+12,753,1021,999,8,64.766,0,0
1.70173E+12,753,1022,5763,0,90.577,0,0
1.70173E+12,753,1026,38,0,1.892,0,0
1.70173E+12,753,1027,86,0,4.419,0,0
1.70173E+12,753,1028,5990,0,7.148,0,0
1.70173E+12,753,1029,84,0,0.099,0,0
1.70173E+12,753,1031,1,0,0.008,0,0
1.70173E+12,753,1032,84,0,1.868,0,0
1.70173E+12,753,1033,22041,0,73.915,0,0
1.70173E+12,753,1034,229,97,30.56,1,0
1.70173E+12,753,1036,6341,3179,2088.098,1,0
1.70173E+12,753,1037,4449,0,395.887,0,0
1.70173E+12,753,1041,60,0,1.625,0,0
1.70173E+12,753,1043,86,0,2.38,0,0
1.70173E+12,753,1046,1042,13,35.812,0,0
1.70173E+12,753,1047,7490,0,94.845,0,0
1.70173E+12,753,1048,21878,326,701.856,0,0
1.70173E+12,753,1049,360,0,0.505,0,0
1.70173E+12,753,1050,86,0,1.871,0,0
1.70173E+12,753,1051,6339,3180,2513.062,1,0
1.70173E+12,753,1053,222,0,2.068,0,0
1.70173E+12,753,1054,86,0,3.793,0,0
1.70173E+12,753,1055,15113,0,581.635,0,0
1.70173E+12,753,1056,8,0,0.054,0,0
1.70173E+12,753,1059,23342,38,1293.832,0,0
1.70173E+12,753,1060,29687,0,58.895,0,0
1.70173E+12,753,1063,6337,0,13.177,0,0
1.70173E+12,753,1066,8,7,0.67,1,0
1.70173E+12,753,1068,3996,0,2.905,0,0
1.70173E+12,753,1069,904,0,6.628,0,0
1.70173E+12,753,1076,86,0,0.531,0,0
1.70173E+12,753,1080,222,0,5.035,0,0
1.70173E+12,753,1082,14209,0,112.789,0,0
1.70173E+12,753,1086,84,0,0.101,0,0
1.70173E+12,753,1088,5781,0,414.277,0,0
1.70173E+12,753,1091,6564,14,27.342,0,0
1.70173E+12,753,1092,5781,0,99.434,0,0
1.70173E+12,753,1094,1,0,0.01,0,0
1.70173E+12,753,1095,7490,0,15.99,0,0
1.70173E+12,753,1100,23343,39,1796.05,0,0
1.70173E+12,753,1103,215,83,20.206,1,0
1.70174E+12,753,1008,28969,368,431.439,0,0
1.70174E+12,753,1009,360,0,1.97,0,0
1.70174E+12,753,1011,5849,0,7.017,0,0
1.70174E+12,753,1012,5848,0,106.91,0,0
1.70174E+12,753,1014,3176,0,99.534,0,0
1.70174E+12,753,1015,215,0,0.737,0,0
1.70174E+12,753,1020,2,0,0.033,0,0
1.70174E+12,753,1021,930,3,62.174,0,0
1.70174E+12,753,1022,5835,0,93.155,0,0
1.70174E+12,753,1026,49,0,2.563,0,0
1.70174E+12,753,1027,65,0,3.081,0,0
1.70174E+12,753,1028,6077,0,7.332,0,0
1.70174E+12,753,1029,65,0,0.069,0,0
1.70174E+12,753,1032,65,0,1.315,0,0
1.70174E+12,753,1033,21598,0,73.318,0,0
1.70174E+12,753,1034,215,79,29.101,1,0
1.70174E+12,753,1036,6338,3163,2063.94,1,0
1.70174E+12,753,1037,4419,0,379.191,0,0
1.70174E+12,753,1041,62,0,1.899,0,0
1.70174E+12,753,1042,2,2,0.11,1,0
1.70174E+12,753,1043,89,0,2.12,0,0
1.70174E+12,753,1046,979,3,33.642,0,0
1.70174E+12,753,1047,7353,0,94.634,0,0
1.70174E+12,753,1048,21553,368,690.976,0,0
1.70174E+12,753,1049,360,0,0.481,0,0
1.70174E+12,753,1050,89,0,1.945,0,0
1.70174E+12,753,1051,6341,3164,2488.5,1,0
1.70174E+12,753,1053,162,0,1.386,0,0
1.70174E+12,753,1054,89,0,3.907,0,0
1.70174E+12,753,1055,14856,0,568.889,0,0
1.70174E+12,753,1056,2,0,0.01,0,0
1.70174E+12,753,1059,26512,39,1467.124,0,0
1.70174E+12,753,1060,32861,0,64.98,0,0
1.70174E+12,753,1063,6341,0,12.894,0,0
1.70174E+12,753,1066,2,2,0.041,1,0
1.70174E+12,753,1068,4012,0,2.943,0,0
1.70174E+12,753,1069,882,0,6.33,0,0
1.70174E+12,753,1076,89,0,0.396,0,0
1.70174E+12,753,1080,162,0,3.643,0,0
1.70174E+12,753,1082,13975,0,110.257,0,0
1.70174E+12,753,1086,65,0,0.075,0,0
1.70174E+12,753,1088,5847,0,415.12,0,0
1.70174E+12,753,1091,6557,4,26.479,0,0
1.70174E+12,753,1092,5847,0,100.232,0,0
1.70174E+12,753,1094,4,0,0.033,0,0
1.70174E+12,753,1095,7353,0,15.717,0,0
1.70174E+12,753,1100,26513,39,2033.825,0,0
1.70174E+12,753,1103,211,75,19.235,1,0
1.70174E+12,753,1008,29386,355,449.902,0,0
1.70174E+12,753,1009,360,0,1.868,0,0
1.70174E+12,753,1011,6104,0,7.469,0,0
1.70174E+12,753,1012,6105,0,113.834,0,0
1.70174E+12,753,1013,1,0,0.053,0,0
1.70174E+12,753,1014,3256,0,103.814,0,0
1.70174E+12,753,1015,215,0,0.82,0,0
1.70174E+12,753,1020,4,0,0.057,0,0
1.70174E+12,753,1021,955,7,65.126,0,0
1.70174E+12,753,1022,6081,0,95.152,0,0
1.70174E+12,753,1026,45,0,2.004,0,0
1.70174E+12,753,1027,76,0,4.069,0,0
1.70174E+12,753,1028,6378,0,7.635,0,0
1.70174E+12,753,1029,75,0,0.076,0,0
1.70174E+12,753,1031,1,0,0.008,0,0
1.70174E+12,753,1032,75,0,1.447,0,0
1.70174E+12,753,1033,22012,0,75.664,0,0
1.70174E+12,753,1034,215,74,32.918,1,0
1.70174E+12,753,1036,6340,3085,2093.135,1,0
1.70174E+12,753,1037,4535,0,407.583,0,0
1.70174E+12,753,1041,60,0,1.89,0,0
1.70174E+12,753,1042,3,0,0.23,0,0
1.70174E+12,753,1043,115,0,2.445,0,0
1.70174E+12,753,1046,1002,9,36.432,0,0
1.70174E+12,753,1047,7354,0,94.774,0,0
